C7H7,91.13048
C7FH6,109.1209432
C11H9,141.18916000000002
C11H15,147.23680000000002
C8F3H6,159.1284496
C13H11,167.22643999999997
C7F5H2,181.08279599999997
C15H23,203.34312
C17H11,215.26923999999997
C9F6H5,227.1264192
C3H9,45.10356
C2H2N,40.043980000000005
C3H5O,57.0712
C4H9,57.11426
C5H11,71.14084
C5H9O,85.12436
C4H7O2,87.09718
C5H9O2,101.12375999999999
C6H11O,99.15094
C8H8F,123.14752320000001
C7H6Cl,125.57554
C6H8NO2,126.13322
C6H15OSi,131.2682
C7H6NO2,136.12804
C4H9O3S,137.17746
C8H8Cl,139.60212
C7H14NO2,144.19156
C9H9O2,149.16656
C10H13O,149.20962
C8H8NO2,150.15462000000002
C9H11O2,151.18244
C8H7F2O,157.1373864
C10H8NO,158.17662
C9H21OSi,173.34794
C10H8NO2,174.17602000000002
C11H9O3,189.18736
C9H10NO4,196.18
C11H20NO2,198.282
C10H13O3S,213.27342
C17H11,215.26923999999997
C13H14NO2,216.25575999999998
C8H7BrCl,218.49818000000002
C13H29OSi,229.45425999999998
